location,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,hour,holiday
강남구,0,0,0,1,0,0,0,6,11,0
강남구,0,0,0,1,0,0,0,6,12,0
강남구,0,0,0,1,0,0,0,6,13,0
강남구,0,0,0,1,0,0,0,6,14,0
강남구,0,0,0,1,0,0,0,6,15,0
강남구,0,0,0,1,0,0,0,6,16,0
강남구,0,0,0,1,0,0,0,6,17,0
강남구,0,0,0,1,0,0,0,6,18,0
강남구,0,0,0,1,0,0,0,6,19,0
강남구,0,0,0,1,0,0,0,6,20,0
강남구,0,0,0,1,0,0,0,6,21,0
강남구,0,0,0,1,0,0,0,6,22,0
강남구,0,0,0,1,0,0,0,6,23,0
강남구,0,0,0,0,1,0,0,7,0,0
강남구,0,0,0,0,1,0,0,7,1,0
강남구,0,0,0,0,1,0,0,7,2,0
강남구,0,0,0,0,1,0,0,7,3,0
강남구,0,0,0,0,1,0,0,7,4,0
강남구,0,0,0,0,1,0,0,7,5,0
강남구,0,0,0,0,1,0,0,7,6,0
강남구,0,0,0,0,1,0,0,7,7,0
강남구,0,0,0,0,1,0,0,7,8,0
강남구,0,0,0,0,1,0,0,7,9,0
강남구,0,0,0,0,1,0,0,7,10,0
강남구,0,0,0,0,1,0,0,7,11,0
강남구,0,0,0,0,1,0,0,7,12,0
강남구,0,0,0,0,1,0,0,7,13,0
강남구,0,0,0,0,1,0,0,7,14,0
강남구,0,0,0,0,1,0,0,7,15,0
강남구,0,0,0,0,1,0,0,7,16,0
강남구,0,0,0,0,1,0,0,7,17,0
강남구,0,0,0,0,1,0,0,7,18,0
강남구,0,0,0,0,1,0,0,7,19,0
강남구,0,0,0,0,1,0,0,7,20,0
강남구,0,0,0,0,1,0,0,7,21,0
강남구,0,0,0,0,1,0,0,7,22,0
강남구,0,0,0,0,1,0,0,7,23,0
강남구,0,0,0,0,0,1,0,8,0,0
강남구,0,0,0,0,0,1,0,8,1,0
강남구,0,0,0,0,0,1,0,8,2,0
강남구,0,0,0,0,0,1,0,8,3,0
강남구,0,0,0,0,0,1,0,8,4,0
강남구,0,0,0,0,0,1,0,8,5,0
강남구,0,0,0,0,0,1,0,8,6,0
강남구,0,0,0,0,0,1,0,8,7,0
강남구,0,0,0,0,0,1,0,8,8,0
강남구,0,0,0,0,0,1,0,8,9,0
강남구,0,0,0,0,0,1,0,8,10,0
강남구,0,0,0,0,0,1,0,8,11,0
강남구,0,0,0,0,0,1,0,8,12,0
강남구,0,0,0,0,0,1,0,8,13,0
강남구,0,0,0,0,0,1,0,8,14,0
강남구,0,0,0,0,0,1,0,8,15,0
강남구,0,0,0,0,0,1,0,8,16,0
강남구,0,0,0,0,0,1,0,8,17,0
강남구,0,0,0,0,0,1,0,8,18,0
강남구,0,0,0,0,0,1,0,8,19,0
강남구,0,0,0,0,0,1,0,8,20,0
강남구,0,0,0,0,0,1,0,8,21,0
강남구,0,0,0,0,0,1,0,8,22,0
강남구,0,0,0,0,0,1,0,8,23,0
강남구,0,0,0,0,0,0,1,9,0,0
강남구,0,0,0,0,0,0,1,9,1,0
강남구,0,0,0,0,0,0,1,9,2,0
강남구,0,0,0,0,0,0,1,9,3,0
강남구,0,0,0,0,0,0,1,9,4,0
강남구,0,0,0,0,0,0,1,9,5,0
강남구,0,0,0,0,0,0,1,9,6,0
강남구,0,0,0,0,0,0,1,9,7,0
강남구,0,0,0,0,0,0,1,9,8,0
강남구,0,0,0,0,0,0,1,9,9,0
강남구,0,0,0,0,0,0,1,9,10,0
강남구,0,0,0,0,0,0,1,9,11,0
강남구,0,0,0,0,0,0,1,9,12,0
강남구,0,0,0,0,0,0,1,9,13,0
강남구,0,0,0,0,0,0,1,9,14,0
강남구,0,0,0,0,0,0,1,9,15,0
강남구,0,0,0,0,0,0,1,9,16,0
강남구,0,0,0,0,0,0,1,9,17,0
강남구,0,0,0,0,0,0,1,9,18,0
강남구,0,0,0,0,0,0,1,9,19,0
강남구,0,0,0,0,0,0,1,9,20,0
강남구,0,0,0,0,0,0,1,9,21,0
강남구,0,0,0,0,0,0,1,9,22,0
강남구,0,0,0,0,0,0,1,9,23,0
강남구,1,0,0,0,0,0,0,10,0,0
강남구,1,0,0,0,0,0,0,10,1,0
강남구,1,0,0,0,0,0,0,10,2,0
강남구,1,0,0,0,0,0,0,10,3,0
강남구,1,0,0,0,0,0,0,10,4,0
강남구,1,0,0,0,0,0,0,10,5,0
강남구,1,0,0,0,0,0,0,10,6,0
강남구,1,0,0,0,0,0,0,10,7,0
강남구,1,0,0,0,0,0,0,10,8,0
강남구,1,0,0,0,0,0,0,10,9,0
강남구,1,0,0,0,0,0,0,10,10,0
강남구,1,0,0,0,0,0,0,10,11,0
강남구,1,0,0,0,0,0,0,10,12,0
강남구,1,0,0,0,0,0,0,10,13,0
강남구,1,0,0,0,0,0,0,10,14,0
강남구,1,0,0,0,0,0,0,10,15,0
강남구,1,0,0,0,0,0,0,10,16,0
강남구,1,0,0,0,0,0,0,10,17,0
강남구,1,0,0,0,0,0,0,10,18,0
강남구,1,0,0,0,0,0,0,10,19,0
강남구,1,0,0,0,0,0,0,10,20,0
