attribute,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
V3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4,10.0,0.0,3.0,10.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,7.0,2.0,3.0,0.0,2.0,29.0,5.0,11.0,4.0,4.0,0.0,8.0,1.0,0.0
V5,122.0,61.0,0.0,78.0,15.0,92.0,35.0,54.0,69.0,0.0,20.0,78.0,119.0,23.0,140.0,75.0,35.0,99.0,64.0,279.0,102.0,19.0,35.0,3.0,65.0
V6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avg load,2100.6026629292223,2127.1802325581393,200.0,1465.9176029962546,1668.4491978609626,4987.44769874477,1247.8713339640492,3264.254385964912,1560.4203152364273,1458.2623509369676,1699.01547116737,4031.496062992126,2817.813765182186,2347.1971066907777,887.8504672897196,5060.518731988473,2458.4988962472407,1389.3951946975974,2005.8962264150944,1741.564417177914,4764.028776978417,715.2777777777778,768.939393939394,1207.2784810126582,982.1673525377229
max height,600.0,600.0,1200.0,520.0,450.0,850.0,480.0,450.0,600.0,450.0,550.0,550.0,950.0,1000.0,570.0,3200.0,500.0,500.0,490.0,650.0,580.0,1000.0,480.0,480.0,480.0
000 type,1341.0,670.0,472.0,1296.0,526.0,450.0,989.0,424.0,1087.0,562.0,682.0,486.0,936.0,505.0,821.0,648.0,858.0,1122.0,810.0,1225.0,637.0,557.0,628.0,608.0,700.0
001 type,13.0,0.0,2.0,14.0,1.0,5.0,9.0,8.0,4.0,0.0,7.0,6.0,12.0,14.0,6.0,11.0,21.0,6.0,3.0,17.0,18.0,1.0,2.0,9.0,5.0
002 type,8.0,1.0,1.0,12.0,0.0,4.0,24.0,2.0,16.0,4.0,11.0,5.0,3.0,7.0,7.0,6.0,11.0,12.0,14.0,21.0,9.0,6.0,2.0,2.0,8.0
003 type,58.0,17.0,3.0,13.0,23.0,19.0,28.0,13.0,33.0,21.0,11.0,4.0,35.0,24.0,12.0,22.0,8.0,63.0,18.0,41.0,21.0,7.0,8.0,7.0,13.0
004 type,7.0,0.0,2.0,0.0,11.0,0.0,7.0,9.0,2.0,0.0,0.0,7.0,2.0,3.0,10.0,7.0,8.0,4.0,3.0,0.0,10.0,5.0,20.0,6.0,3.0
