date,hour,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
1,0,29837,7121,9874,22643,6941,6289,14397,7729,26273,10422,7055,13414,19998,9730,25201,4707,15104,25251,12979,17431,13141,10831,8489,9695,15217
1,1,13893,3995,6798,9209,8002,7037,5729,6573,10877,6121,3279,8986,3671,4361,12871,7565,7240,12722,6413,8427,8605,3358,4678,4054,11328
1,2,13089,2256,4105,4363,9904,3848,4738,2781,10648,1574,4007,5209,5808,2613,15220,4551,11645,6137,6214,9931,7340,4511,7064,6316,5644
1,3,9500,2020,3492,13908,5821,2805,1468,355,12760,3970,4365,3955,8777,3573,14620,5145,8663,4677,6110,6978,11478,2621,2181,6494,1354
1,4,8789,4802,8691,16408,9222,2119,3997,5662,14996,9283,4759,2994,6067,2795,12266,4235,9521,9501,5237,7730,9942,4847,3242,4795,7138
1,5,28478,12521,17036,34002,10156,5187,12204,6527,22508,21482,10605,15026,13715,9615,22537,4257,13673,23531,20209,27071,15499,4942,9020,8948,14204
1,6,42036,18444,32875,49630,22691,11189,21275,11159,28738,8399,20323,14131,25595,19259,50236,8811,33134,40248,17813,38814,14982,13918,26675,30164,28338
1,7,51064,26257,31155,44391,19157,20668,23410,6595,29191,16811,18167,16654,30399,18638,48823,11259,28295,61772,26548,32207,18106,11401,15180,18548,29702
1,8,40781,25233,35161,38821,14617,18019,23942,11066,37112,16192,23837,18938,26479,32183,34023,12337,28295,46751,22750,44185,20318,9595,19407,19896,36973
1,9,68335,15043,27542,46589,23915,23583,24854,8514,34269,18672,25483,31612,24377,20791,46353,12951,30919,46373,23414,47611,15907,13154,24952,17421,31009
1,10,75919,18396,31089,45046,19263,12807,20343,6107,34283,13319,12381,26868,17043,30484,69947,10289,26313,50924,22142,35959,20502,18471,27138,24772,23861
1,11,65911,10100,28120,57632,18505,6270,22216,7497,29939,16630,13815,18911,22106,17230,64337,7452,27327,58901,25582,47095,20187,10125,23846,16918,18649
1,12,63688,15174,31176,39683,17453,13392,25513,6346,33921,13613,17913,25031,32005,18783,55378,14272,28913,45161,25804,44722,25126,12187,27948,16915,19534
1,13,54258,13621,38410,34837,19028,20488,25197,7285,31972,7851,16655,18329,22532,15756,49672,11345,31019,57839,15026,42635,19254,18767,29406,28919,25988
1,14,68090,21766,34440,44452,19759,19774,26157,5597,29480,19632,17321,24239,28319,19111,64214,14090,23610,48925,15383,48064,33020,22099,27271,31697,24383
1,15,54156,17416,28913,37856,26535,23882,25850,14085,26252,11655,17225,22195,27007,16754,48809,13111,25710,38170,31539,46398,32454,22717,35323,23000,17269
1,16,50828,15239,33964,33318,22876,17961,32085,9791,35305,12111,14250,26249,35461,17877,60792,7489,19983,39475,32136,49682,20026,14896,37880,30482,24536
1,17,50763,19877,30694,31227,11809,23051,24324,7903,33456,16448,16246,14315,26367,17657,41333,7012,27563,41101,26524,32167,22388,19199,29559,35464,27851
1,18,57210,25599,35389,40557,13432,21985,24125,4971,21793,19049,15524,12676,29650,17370,63194,13374,33401,43178,15960,35107,15046,21549,32381,26886,22130
1,19,47280,13283,20609,41983,14559,19182,20285,12189,21650,9122,20770,24718,29428,16390,51167,11135,32106,38404,21377,31618,20572,21533,42356,28749,22913
1,20,54286,11691,31987,34174,16514,18255,25591,10579,24893,11445,14122,24150,40110,21543,42754,8464,28154,35580,21378,48995,15287,19891,37744,19627,24168
1,21,40086,11878,31263,26428,21399,16337,29735,6599,25521,12568,16925,18917,27607,15444,39117,6696,31469,25581,20775,38181,22027,18628,41243,26100,22888
1,22,45183,9986,26387,32998,19648,18533,20122,9526,23416,10504,18493,11230,30100,11967,36945,9713,21799,39227,23714,32051,12518,19216,27815,19205,20455
1,23,38582,5512,16858,25190,17170,12205,30191,9640,12958,6323,12428,17214,29317,16666,21525,9765,15899,21365,21326,46328,15503,17608,14602,11055,22288
2,0,19750,12481,10205,20452,10746,17042,13186,5465,20049,15910,10155,7219,22409,11827,24105,11470,13635,20026,15404,20363,16688,5163,10782,7168,10083
2,1,23016,3193,6972,10146,4905,8809,3764,2595,12933,6955,5818,4284,15253,3919,10221,6507,7494,7909,8527,6062,14726,2952,8882,6854,6051
2,2,15084,7391,3228,6024,12494,4672,6555,2634,2604,3371,3763,12238,11533,3576,19491,5145,8164,6064,1014,12370,10866,5509,5915,4905,3865
2,3,14567,11825,5424,4293,8030,5587,6112,389,6348,7171,4457,7194,8169,5167,15334,2436,5094,7686,3969,7868,12328,2374,2920,3260,8926
2,4,10861,4438,10586,7927,7781,8911,7092,2393,7829,8062,14049,10110,11768,5927,9934,7810,10871,6065,8909,4481,9635,9232,5434,5207,8525
2,5,20675,6353,11036,20635,14107,11656,18401,8913,16727,17783,13446,5685,20566,17462,27828,15538,14709,17864,8825,17174,11485,11117,7798,5944,10271
2,6,34299,12682,16509,24236,20111,20900,29366,13864,18941,10737,14029,10466,34476,26199,50942,15597,12448,29247,16331,29973,18877,11490,23042,16562,18175
2,7,38340,6432,17688,28364,29945,17281,34622,19435,17822,23267,15813,15644,33277,27227,58799,15518,17294,40034,25391,32703,29510,10276,18980,21918,14077
2,8,40449,17923,19013,22926,23504,21810,33373,14572,16504,19118,13861,18001,35486,18931,49845,22640,21510,42105,13772,33779,26684,9668,20435,16874,14587
2,9,46532,12142,13549,19944,22217,16996,27652,11529,19909,26790,21186,13048,30665,25301,55360,16401,18784,31281,28093,30655,19068,11924,27925,22601,21265
2,10,44209,11037,22210,24087,22233,28089,32982,14454,21603,19915,15642,18257,37915,30906,47042,14009,20924,46748,17181,30715,21600,9965,22788,12227,15104
2,11,47657,12412,17589,19645,26382,25648,28418,11822,16423,21074,20471,15863,28539,17754,54636,21008,23347,27319,15759,35032,20018,11771,27127,14406,20043
2,12,32022,15515,28727,18732,29078,18125,31323,15515,20144,17968,12894,16088,39361,25075,43977,11037,20973,28031,18183,23764,17329,7503,32396,21890,23428
2,13,41556,16095,16379,18420,26233,23447,34043,14048,22019,24405,21954,13821,31132,21328,56824,14919,21487,39128,26920,32326,16410,10059,27686,19395,27497
2,14,42522,15317,21946,31883,18450,25564,36147,21537,21395,13878,17603,16413,35383,25780,50096,22514,25153,38201,24772,31120,18116,6080,35185,19946,21399
2,15,47046,18641,11716,27383,24707,18902,30549,20141,23999,15522,17997,19484,32284,26855,63154,18779,21841,39889,16629,32985,29509,11842,29824,25533,28346
2,16,46031,19850,17828,32043,20827,15393,29427,16998,25958,17935,29170,15172,24641,33485,50476,20197,25043,37056,29858,19677,30593,9784,28771,22003,17565
2,17,40263,21961,20038,22038,27505,21705,33048,13352,15442,15013,13138,17778,26294,23959,57337,21352,19366,42004,20921,32133,19767,11567,20170,13622,23727
