date,time,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
3,9,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,5,1,0,2,0,0
3,10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
3,11,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,2,2
3,12,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
3,13,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
3,15,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0
3,16,7,0,0,0,0,1,2,0,2,0,0,7,0,2,5,0,0,0,0,0,0,0,0,0,0
3,17,0,0,0,3,0,0,2,6,7,3,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
3,18,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3,19,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2
3,20,0,0,0,0,0,2,0,0,2,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0
3,21,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0
3,22,0,4,2,0,0,2,0,2,0,2,0,3,0,0,0,2,0,0,0,0,0,2,2,0,0
3,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0
4,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
4,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0
4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,3,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,9,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,4,0,5,0,0,0
4,10,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,2,0,0,0
4,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,1,0,2,0
4,12,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,3,0,2,0,2,0,0,0,0,0
4,13,0,0,0,0,3,2,0,0,0,0,3,0,2,0,2,0,0,2,0,4,0,0,2,0,0
4,14,0,0,0,0,6,0,0,2,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0
4,15,0,0,0,0,0,0,9,0,0,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0
4,16,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,0,3,0,0,5,0,0,0,0,9
4,17,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4,18,4,0,0,5,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
4,19,2,5,5,0,0,0,2,0,0,0,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0
4,20,4,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0
4,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
4,22,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,23,4,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6
5,1,7,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0
