index,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
0~9Y,36716.0,16225.0,8111.0,42460.0,4514.0,10447.0,24781.0,2875.0,11821.0,7425.0,14389.0,16725.0,45812.0,25619.0,25197.0,28597.0,45111.0,28955.0,5156.0,68897.0,36847.0,23029.0,43349.0,18199.0,7483.0
10~19Y,40596.0,21479.0,10164.0,42742.0,5165.0,14876.0,24196.0,3810.0,16374.0,9808.0,18050.0,19397.0,49906.0,31613.0,23745.0,25139.0,62377.0,31111.0,8054.0,60715.0,45887.0,30808.0,57632.0,19413.0,9545.0
20~20Y,48835.0,30139.0,12804.0,58052.0,13783.0,31329.0,36217.0,10127.0,20957.0,14026.0,34352.0,38534.0,97823.0,70458.0,30920.0,52684.0,145152.0,43707.0,8573.0,146431.0,85440.0,45786.0,116406.0,47970.0,19510.0
30~39Y,63432.0,32254.0,14057.0,73630.0,13383.0,25964.0,43435.0,9266.0,21625.0,13991.0,32195.0,37481.0,107041.0,60312.0,42102.0,60970.0,120415.0,53696.0,8540.0,186489.0,94665.0,49506.0,108642.0,52349.0,21312.0
40~49Y,69572.0,35110.0,18320.0,75438.0,11013.0,25930.0,45680.0,8648.0,26321.0,16116.0,34974.0,37356.0,104782.0,62304.0,43835.0,55359.0,122362.0,51964.0,12111.0,135605.0,93133.0,56777.0,120431.0,52014.0,20445.0
50~59Y,55271.0,36431.0,17137.0,67235.0,11565.0,24127.0,43238.0,10340.0,24012.0,18429.0,35893.0,35597.0,87155.0,63743.0,34532.0,54139.0,115731.0,48906.0,11291.0,123482.0,90925.0,53889.0,130758.0,61204.0,24291.0
60~69Y,43235.0,27359.0,13382.0,49602.0,8549.0,15962.0,33496.0,7230.0,16992.0,14122.0,28221.0,26748.0,57994.0,45227.0,26312.0,37010.0,83026.0,34620.0,7834.0,92416.0,62659.0,40298.0,101154.0,49977.0,17979.0
70~79Y,25029.0,12843.0,9432.0,25700.0,5311.0,9079.0,18844.0,4116.0,9794.0,7199.0,18350.0,16343.0,38128.0,31332.0,14460.0,22509.0,55756.0,15951.0,4186.0,51103.0,38389.0,26026.0,70000.0,28923.0,10069.0
80~89Y,9280.0,4501.0,3092.0,9527.0,1540.0,3367.0,6490.0,1278.0,4086.0,3046.0,6681.0,6205.0,15639.0,12850.0,4903.0,8432.0,21460.0,5806.0,1797.0,19400.0,16875.0,9207.0,29455.0,11992.0,3292.0
90~99Y,1733.0,785.0,445.0,1528.0,219.0,498.0,867.0,168.0,523.0,453.0,920.0,849.0,2071.0,2043.0,830.0,1142.0,3172.0,1100.0,271.0,2834.0,2828.0,1247.0,5783.0,2440.0,455.0
100Y,150.0,85.0,76.0,197.0,20.0,75.0,82.0,37.0,44.0,42.0,145.0,166.0,407.0,433.0,94.0,282.0,684.0,89.0,21.0,600.0,738.0,307.0,1701.0,816.0,59.0
households,158244.0,86758.0,43337.0,178607.0,35851.0,75163.0,111319.0,29954.0,59646.0,39279.0,102738.0,104044.0,280054.0,195463.0,97390.0,150281.0,375851.0,122975.0,25522.0,432222.0,271497.0,142459.0,417679.0,184745.0,63575.0
per-generation population,34.46,23.11,9.89,31.93,6.28,14.93,24.340000000000003,5.98,12.93,10.74,21.87,20.2,56.519999999999996,42.349999999999994,25.599999999999998,38.81,80.13000000000002,34.239999999999995,8.17,71.50999999999999,75.22999999999999,25.830000000000002,164.99000000000018,134.61,12.8
male,186230.0,107483.0,51770.0,217748.0,36991.0,78724.0,136507.0,30099.0,72929.0,50897.0,111600.0,115010.0,289617.0,195456.0,119292.0,167708.0,372291.0,153435.0,33072.0,449459.0,278669.0,162522.0,397590.0,174493.0,67114.0
female,207619.0,109728.0,55250.0,228363.0,38071.0,82930.0,140819.0,27796.0,79620.0,53760.0,112570.0,120391.0,317141.0,210478.0,127638.0,178555.0,402955.0,162470.0,34762.0,438513.0,289717.0,174358.0,387721.0,170804.0,67326.0
