,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,0.09090909090909091,0.07106690545187015,0.0,0.0,0.0,0.0,0.07312724241271307,0.0,0.0,0.0,0.0778498944161523,0.13483997249264842,0.0,0.0,0.0,0.08058229640253803,0.09534625892455924,0.0,0.08362420100070908,0.0,0.0,0.10050378152592121,0.07537783614444091,0.08362420100070908,0.0
중구,0.07106690545187015,0.055555555555555566,0.0,0.0,0.0,0.052704627669472995,0.05716619504750295,0.055555555555555566,0.0,0.05407380704358751,0.06085806194501846,0.10540925533894599,0.06299407883487121,0.05892556509887897,0.055555555555555566,0.06299407883487121,0.074535599249993,0.0,0.06537204504606135,0.0,0.05716619504750295,0.0,0.05892556509887897,0.06537204504606135,0.06299407883487121
용산구,0.0,0.0,0.07692307692307693,0.08006407690254358,0.08362420100070908,0.06201736729460423,0.0,0.06537204504606135,0.0,0.06362847629757777,0.0,0.0,0.07412493166611013,0.06933752452815364,0.06537204504606135,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.06726727939963124,0.0,0.0,0.0,0.07412493166611013
성동구,0.0,0.0,0.08006407690254358,0.08333333333333336,0.08703882797784893,0.06454972243679029,0.0,0.06804138174397718,0.0,0.06622661785325219,0.0,0.0,0.07715167498104597,0.07216878364870323,0.0,0.0,0.0,0.08006407690254358,0.0,0.08006407690254358,0.0700140042014005,0.0,0.0,0.0,0.07715167498104597
광진구,0.0,0.0,0.08362420100070908,0.08703882797784893,0.09090909090909091,0.06741998624632421,0.0,0.07106690545187015,0.0,0.0,0.0,0.0,0.08058229640253803,0.07537783614444091,0.0,0.0,0.0,0.08362420100070908,0.0,0.08362420100070908,0.07312724241271307,0.0,0.0,0.0,0.08058229640253803
동대문구,0.0,0.052704627669472995,0.06201736729460423,0.06454972243679029,0.06741998624632421,0.049999999999999996,0.05423261445466404,0.052704627669472995,0.0,0.0512989176042577,0.05773502691896257,0.0,0.05976143046671968,0.05590169943749474,0.052704627669472995,0.05976143046671968,0.0,0.06201736729460423,0.06201736729460423,0.06201736729460423,0.05423261445466404,0.0,0.05590169943749474,0.06201736729460423,0.05976143046671968
중랑구,0.07312724241271307,0.05716619504750295,0.0,0.0,0.0,0.05423261445466404,0.058823529411764705,0.05716619504750295,0.0,0.05564148840746572,0.06262242910851494,0.10846522890932808,0.0,0.06063390625908324,0.05716619504750295,0.06482037235521644,0.07669649888473705,0.0,0.06726727939963124,0.0,0.058823529411764705,0.08084520834544431,0.06063390625908324,0.06726727939963124,0.0
성북구,0.0,0.055555555555555566,0.06537204504606135,0.06804138174397718,0.07106690545187015,0.052704627669472995,0.05716619504750295,0.055555555555555566,0.0,0.05407380704358751,0.06085806194501846,0.0,0.06299407883487121,0.05892556509887897,0.055555555555555566,0.06299407883487121,0.0,0.06537204504606135,0.0,0.06537204504606135,0.05716619504750295,0.0,0.05892556509887897,0.0,0.06299407883487121
강북구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.3162277660168379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
도봉구,0.0,0.05407380704358751,0.06362847629757777,0.06622661785325219,0.0,0.0512989176042577,0.05564148840746572,0.05407380704358751,0.0,0.05263157894736841,0.059234887775909226,0.0,0.06131393394849658,0.057353933467640436,0.05407380704358751,0.06131393394849658,0.0,0.06362847629757777,0.06362847629757777,0.06362847629757777,0.05564148840746572,0.0,0.057353933467640436,0.06362847629757777,0.06131393394849658
