,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,0.3333333333333334,0.3333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1825741858350554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중구,0.3333333333333334,0.3333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1825741858350554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
용산구,0.0,0.0,0.058823529411764705,0.05292561240249632,0.06262242910851494,0.06063390625908324,0.06726727939963124,0.06726727939963124,0.0,0.0,0.0,0.05423261445466404,0.06726727939963124,0.058823529411764705,0.0,0.06063390625908324,0.06063390625908324,0.07669649888473705,0.0700140042014005,0.05292561240249632,0.0700140042014005,0.0,0.0,0.06063390625908324,0.058823529411764705
성동구,0.0,0.0,0.05292561240249632,0.04761904761904762,0.0563436169819011,0.0545544725589981,0.060522753266880246,0.060522753266880246,0.058321184351980436,0.06299407883487121,0.058321184351980436,0.04879500364742666,0.060522753266880246,0.05292561240249632,0.0,0.0545544725589981,0.0545544725589981,0.0,0.06299407883487121,0.04761904761904762,0.06299407883487121,0.060522753266880246,0.058321184351980436,0.0545544725589981,0.05292561240249632
광진구,0.0,0.0,0.06262242910851494,0.0563436169819011,0.06666666666666665,0.06454972243679027,0.07161148740394328,0.07161148740394328,0.0,0.0,0.0,0.05773502691896257,0.07161148740394328,0.06262242910851494,0.0,0.06454972243679027,0.0,0.0,0.07453559924999299,0.0563436169819011,0.07453559924999299,0.0,0.0,0.06454972243679027,0.06262242910851494
동대문구,0.0,0.0,0.06063390625908324,0.0545544725589981,0.06454972243679027,0.0625,0.06933752452815364,0.06933752452815364,0.0668153104781061,0.0,0.0,0.05590169943749474,0.06933752452815364,0.06063390625908324,0.0,0.0,0.0625,0.07905694150420949,0.07216878364870323,0.0545544725589981,0.07216878364870323,0.0,0.0,0.0,0.06063390625908324
중랑구,0.0,0.0,0.06726727939963124,0.060522753266880246,0.07161148740394328,0.06933752452815364,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.06201736729460423,0.07692307692307693,0.0,0.0,0.0,0.0,0.08770580193070293,0.08006407690254358,0.060522753266880246,0.08006407690254358,0.0,0.0,0.0,0.06726727939963124
성북구,0.0,0.0,0.06726727939963124,0.060522753266880246,0.07161148740394328,0.06933752452815364,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.06201736729460423,0.07692307692307693,0.06726727939963124,0.0,0.0,0.0,0.08770580193070293,0.08006407690254358,0.060522753266880246,0.08006407690254358,0.0,0.0,0.0,0.0
강북구,0.0,0.0,0.0,0.058321184351980436,0.0,0.0668153104781061,0.0,0.0,0.07142857142857144,0.07715167498104597,0.07142857142857144,0.05976143046671968,0.0,0.0,0.08058229640253803,0.0668153104781061,0.0668153104781061,0.0,0.0,0.058321184351980436,0.0,0.07412493166611013,0.07142857142857144,0.0668153104781061,0.06482037235521644
도봉구,0.0,0.0,0.0,0.06299407883487121,0.0,0.0,0.0,0.0,0.07715167498104597,0.08333333333333336,0.07715167498104597,0.06454972243679029,0.0,0.0,0.08703882797784893,0.07216878364870323,0.07216878364870323,0.0,0.0,0.06299407883487121,0.0,0.0,0.07715167498104597,0.07216878364870323,0.0700140042014005
