,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,0.1666666666666667,0.20412414523193154,0.10910894511799621,0.0,0.0,0.0,0.10910894511799621,0.0,0.0,0.0,0.0,0.0,0.10910894511799621,0.0,0.0,0.0,0.0,0.12909944487358058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
중구,0.20412414523193154,0.25,0.0,0.0,0.0,0.0,0.1336306209562122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
용산구,0.10910894511799621,0.0,0.07142857142857144,0.05976143046671968,0.07715167498104597,0.0668153104781061,0.07142857142857144,0.07715167498104597,0.0,0.0,0.0,0.06131393394849658,0.07142857142857144,0.06900655593423542,0.0,0.0,0.0,0.08451542547285167,0.07715167498104597,0.05976143046671968,0.07715167498104597,0.0,0.0,0.0,0.0
성동구,0.0,0.0,0.05976143046671968,0.049999999999999996,0.06454972243679029,0.05590169943749474,0.05976143046671968,0.06454972243679029,0.05976143046671968,0.0,0.06201736729460423,0.0512989176042577,0.05976143046671968,0.05773502691896257,0.0,0.05976143046671968,0.05773502691896257,0.0,0.06454972243679029,0.049999999999999996,0.06454972243679029,0.05976143046671968,0.06201736729460423,0.05976143046671968,0.05976143046671968
광진구,0.0,0.0,0.07715167498104597,0.06454972243679029,0.08333333333333336,0.07216878364870323,0.07715167498104597,0.08333333333333336,0.0,0.0,0.0,0.06622661785325219,0.07715167498104597,0.07453559924999299,0.0,0.0,0.0,0.0,0.08333333333333336,0.06454972243679029,0.08333333333333336,0.0,0.0,0.0,0.0
동대문구,0.0,0.0,0.0668153104781061,0.05590169943749474,0.07216878364870323,0.0625,0.0668153104781061,0.07216878364870323,0.0668153104781061,0.0,0.0,0.057353933467640436,0.0668153104781061,0.06454972243679027,0.0,0.0,0.06454972243679027,0.07905694150420949,0.07216878364870323,0.05590169943749474,0.07216878364870323,0.0,0.0,0.0,0.0668153104781061
중랑구,0.10910894511799621,0.1336306209562122,0.07142857142857144,0.05976143046671968,0.07715167498104597,0.0668153104781061,0.07142857142857144,0.07715167498104597,0.0,0.0,0.0,0.06131393394849658,0.07142857142857144,0.0,0.0,0.0,0.0,0.08451542547285167,0.07715167498104597,0.05976143046671968,0.07715167498104597,0.0,0.0,0.0,0.0
성북구,0.0,0.0,0.07715167498104597,0.06454972243679029,0.08333333333333336,0.07216878364870323,0.07715167498104597,0.08333333333333336,0.0,0.0,0.0,0.0,0.07715167498104597,0.07453559924999299,0.0,0.0,0.0,0.0912870929175277,0.08333333333333336,0.06454972243679029,0.08333333333333336,0.0,0.0,0.0,0.0
강북구,0.0,0.0,0.0,0.05976143046671968,0.0,0.0668153104781061,0.0,0.0,0.07142857142857144,0.08058229640253803,0.07412493166611013,0.06131393394849658,0.0,0.0,0.08058229640253803,0.07142857142857144,0.06900655593423542,0.0,0.0,0.05976143046671968,0.0,0.07142857142857144,0.07412493166611013,0.07142857142857144,0.07142857142857144
도봉구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08058229640253803,0.09090909090909091,0.08362420100070908,0.06917144638660747,0.0,0.0,0.09090909090909091,0.08058229640253803,0.0778498944161523,0.0,0.0,0.0,0.0,0.08058229640253803,0.08362420100070908,0.08058229640253803,0.08058229640253803
노원구,0.0,0.0,0.0,0.06201736729460423,0.0,0.0,0.0,0.0,0.07412493166611013,0.08362420100070908,0.07692307692307693,0.06362847629757777,0.0,0.0,0.08362420100070908,0.07412493166611013,0.07161148740394328,0.0,0.0,0.06201736729460423,0.0,0.07412493166611013,0.07692307692307693,0.07412493166611013,0.07412493166611013
은평구,0.0,0.0,0.06131393394849658,0.0512989176042577,0.06622661785325219,0.057353933467640436,0.06131393394849658,0.0,0.06131393394849658,0.06917144638660747,0.06362847629757777,0.05263157894736841,0.06131393394849658,0.059234887775909226,0.06917144638660747,0.06131393394849658,0.059234887775909226,0.0,0.0,0.0512989176042577,0.0,0.06131393394849658,0.06362847629757777,0.06131393394849658,0.06131393394849658
서대문구,0.10910894511799621,0.0,0.07142857142857144,0.05976143046671968,0.07715167498104597,0.0668153104781061,0.07142857142857144,0.07715167498104597,0.0,0.0,0.0,0.06131393394849658,0.07142857142857144,0.06900655593423542,0.0,0.0,0.0,0.08451542547285167,0.07715167498104597,0.05976143046671968,0.07715167498104597,0.0,0.0,0.0,0.0
마포구,0.0,0.0,0.06900655593423542,0.05773502691896257,0.07453559924999299,0.06454972243679027,0.0,0.07453559924999299,0.0,0.0,0.0,0.059234887775909226,0.06900655593423542,0.06666666666666665,0.0,0.06900655593423542,0.06666666666666665,0.0,0.07453559924999299,0.05773502691896257,0.07453559924999299,0.06900655593423542,0.0,0.06900655593423542,0.0
양천구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08058229640253803,0.09090909090909091,0.08362420100070908,0.06917144638660747,0.0,0.0,0.09090909090909091,0.08058229640253803,0.0778498944161523,0.0,0.0,0.0,0.0,0.08058229640253803,0.08362420100070908,0.08058229640253803,0.08058229640253803
강서구,0.0,0.0,0.0,0.05976143046671968,0.0,0.0,0.0,0.0,0.07142857142857144,0.08058229640253803,0.07412493166611013,0.06131393394849658,0.0,0.06900655593423542,0.08058229640253803,0.07142857142857144,0.06900655593423542,0.0,0.0,0.05976143046671968,0.0,0.07142857142857144,0.07412493166611013,0.07142857142857144,0.07142857142857144
구로구,0.0,0.0,0.0,0.05773502691896257,0.0,0.06454972243679027,0.0,0.0,0.06900655593423542,0.0778498944161523,0.07161148740394328,0.059234887775909226,0.0,0.06666666666666665,0.0778498944161523,0.06900655593423542,0.06666666666666665,0.0,0.0,0.05773502691896257,0.0,0.06900655593423542,0.07161148740394328,0.06900655593423542,0.06900655593423542
금천구,0.12909944487358058,0.15811388300841897,0.08451542547285167,0.0,0.0,0.07905694150420949,0.08451542547285167,0.0912870929175277,0.0,0.0,0.0,0.0,0.08451542547285167,0.0,0.0,0.0,0.0,0.1,0.0912870929175277,0.0,0.0912870929175277,0.0,0.0,0.0,0.0
영등포구,0.0,0.0,0.07715167498104597,0.06454972243679029,0.08333333333333336,0.07216878364870323,0.07715167498104597,0.08333333333333336,0.0,0.0,0.0,0.0,0.07715167498104597,0.07453559924999299,0.0,0.0,0.0,0.0912870929175277,0.08333333333333336,0.06454972243679029,0.08333333333333336,0.0,0.0,0.0,0.0
동작구,0.0,0.0,0.05976143046671968,0.049999999999999996,0.06454972243679029,0.05590169943749474,0.05976143046671968,0.06454972243679029,0.05976143046671968,0.0,0.06201736729460423,0.0512989176042577,0.05976143046671968,0.05773502691896257,0.0,0.05976143046671968,0.05773502691896257,0.0,0.06454972243679029,0.049999999999999996,0.06454972243679029,0.05976143046671968,0.06201736729460423,0.05976143046671968,0.05976143046671968
관악구,0.0,0.0,0.07715167498104597,0.06454972243679029,0.08333333333333336,0.07216878364870323,0.07715167498104597,0.08333333333333336,0.0,0.0,0.0,0.0,0.07715167498104597,0.07453559924999299,0.0,0.0,0.0,0.0912870929175277,0.08333333333333336,0.06454972243679029,0.08333333333333336,0.0,0.0,0.0,0.0
